               V1 V2 V3 V4 V5    V6      V7 V8
1.7   16%13 16 16  .  .  .  .     R       .  .
1.8      16 16 16  0  .  4  .   naʊ     Now  .
1.9      16 16 16  1  .  .  .   lɜt     let  .
1.10     16 16 16  0  .  .  .    mi      me  .
1.12     16 16 16  1  .  .  .   wɜl    wel-  .
1.13     16 16 16  0  .  .  .   kəm   -come  .
1.14     16 16 16  1  .  .  .     ɜ      e-  .
1.15     16 16 16  0  .  .  .   vrI  -very-  .
1.16     16 16 16  1  .  .  .    bə    -bo-  .
1.17     16 16 16  0  .  .  .    di     -dy  .
1.18      16 16 8  1  .  .  .    tu      to  .
1.19       16 8 8  0  .  .  .    ðə     the  .
1.20        8 8 8  1  .  .  . waIld    wild  .
1.21       8 8 16  1  .  .  . waIld    wild  .
1.22      8 16 16  1  .  .  A  wɜst   west.  .
1.23      16 16 8  .  .  .  .     R       .  .
1.24      16 8 16  0  .  3  .     ə       A  .
1.26      8 16 16  1  .  .  . steIt   state  .
1.27     16 16 16  1  .  .  .  ðæts  that's  .
1.28     16 16 16  0  .  .  .    ən     un-  .
1.29     16 16 16  1  .  .  .    tə   -tou-  .
1.30     16 16 16  0  .  .  .   tʃə   -cha-  .
1.31     16 16 16  0  .  .  .    bl    -ble  .
1.32     16 16 16  0  .  1  .  laIk    like  .
1.33     16 16 16  1  .  .  .     ɜ      E-  .
1.34      16 16 8  0  .  .  .    li   -lli-  .
1.35      16 8 16  0  .  .  .    ət     -ot  .
1.36       8 16 8  1  .  .  A   nɜs   Ness.  .
1.37      16 8 16  0  .  3  .    ðə     The  .
1.38      8 16 16  1  .  .  .  træk   track  .
1.40      16 16 8  1  .  .  .  hIts    hits  .
1.41       16 8 8  0  .  .  .    jə      ya  .
1.42       8 8 16  1  .  .  .    ir    ear-  .
1.43      8 16 16  1  .  .  .  drəm   -drum  .
1.44     16 16 16  1  .  1  .  laIk    like  .
1.45     16 16 16  0  .  .  .     ə       a  .
1.46     16 16 16  1  .  .  .  sləg    slug  .
1.47      16 16 8  0  .  .  .    tu      to  .
1.48      16 8 16  0  .  .  .    jə      ya  .
1.49      8 16 16  1  .  .  A tʃɜst  chest.  .
1.50     16 16 16  .  .  .  .     R       .  .
1.51      16 16 8  1  .  3  .   pæk    Pack  .
1.52      16 8 16  0  .  .  .     ə       a  .
1.54      8 16 16  1  .  .  A  vɜst    vest  .
1.55     16 16 16  1  .  1  .   fɜ˞     for  .
1.56     16 16 16  0  .  .  .   jɜ˞    your  .
